lon,lat,alt
16.11677500,51.57826530,118.00000
16.11674110,51.57826470,118.00000
16.11677600,51.57825330,118.00000
16.11679150,51.57822340,119.00000
16.11658400,51.57805840,119.00000
16.11653940,51.57806790,119.00000
16.11577890,51.57817700,119.00000
16.11511960,51.57826250,119.00000
16.11447220,51.57836670,119.00000
16.11419590,51.57838390,119.00000
16.11311680,51.57851030,121.00000
16.11248520,51.57862190,123.00000
16.11167600,51.57895220,124.00000
16.11117650,51.57918150,125.00000
16.11019830,51.57963050,127.00000
16.10951750,51.57994300,127.00000
16.10924380,51.58001400,128.00000
16.10867230,51.58015340,127.00000
16.10858500,51.58002530,127.00000
16.10836110,51.57952400,130.00000
16.10817520,51.57917230,133.00000
16.10807570,51.57898380,133.00000
16.10787120,51.57867390,134.00000
16.10760090,51.57841860,135.00000
16.10695860,51.57805750,133.00000
16.10644570,51.57760910,133.00000
16.10599010,51.57714860,139.00000
16.10591620,51.57706680,141.00000
16.10567590,51.57680130,144.00000
16.10551330,51.57662150,147.00000
16.10516300,51.57614020,156.00000
16.10489950,51.57570930,162.00000
16.10484920,51.57562120,162.00000
16.10437110,51.57476160,166.00000
16.10313870,51.57469090,171.00000
16.10254680,51.57486040,172.00000
16.10210390,51.57505620,171.00000
16.10160960,51.57513040,171.00000
16.10026100,51.57514540,175.00000
16.09901740,51.57496060,180.00000
16.09866320,51.57475650,181.00000
16.09857540,51.57473160,181.00000
16.09817280,51.57441960,180.00000
16.09804480,51.57439110,180.00000
16.09749650,51.57416160,180.00000
16.09745760,51.57418110,180.00000
16.09728690,51.57426650,180.00000
16.09720320,51.57431330,180.00000
16.09700720,51.57443500,179.00000
16.09684910,51.57453300,179.00000
16.09640200,51.57516590,176.00000
16.09635720,51.57533760,174.00000
16.09620950,51.57570560,171.00000
16.09611370,51.57586530,170.00000
16.09597610,51.57609460,168.00000
16.09566100,51.57661990,163.00000
16.09558190,51.57675160,163.00000
16.09543950,51.57698920,163.00000
16.09532810,51.57723540,162.00000
16.09552840,51.57760330,158.00000
16.09560680,51.57768590,157.00000
16.09568820,51.57777180,157.00000
16.09554740,51.57836430,157.00000
16.09553530,51.57839840,157.00000
16.09550230,51.57849110,158.00000
16.09543390,51.57868390,159.00000
16.09535170,51.57897770,161.00000
16.09534620,51.57905680,161.00000
16.09534170,51.57912200,162.00000
16.09533320,51.57924550,162.00000
16.09526180,51.57968610,161.00000
16.09522770,51.57979290,162.00000
16.09520980,51.57984900,162.00000
16.09477870,51.58070300,160.00000
16.09442130,51.58073370,161.00000
16.09351940,51.58102610,163.00000
16.09312660,51.58113450,165.00000
16.09180200,51.58131370,171.00000
16.09070910,51.58166550,173.00000
16.08950150,51.58218500,179.00000
16.08818010,51.58258100,179.00000
16.08745340,51.58149640,184.00000
16.08765360,51.58147570,185.00000
16.08799300,51.58123120,187.00000
16.08807340,51.58112030,187.00000
16.08864130,51.58076980,188.00000
16.08875800,51.58074390,188.00000
16.08912560,51.58097770,186.00000
16.08913580,51.58087650,187.00000
16.08916060,51.58086630,187.00000
16.08935290,51.58086380,186.00000
16.08949820,51.58085300,186.00000
16.08946190,51.58058750,186.00000
16.08967570,51.58053990,186.00000
16.08984840,51.58050150,185.00000
16.09093740,51.58018810,181.00000
16.09209600,51.58022930,174.00000
16.09209930,51.57948110,176.00000
16.09204910,51.57933840,176.00000
16.09196340,51.57909580,176.00000
16.09195570,51.57907390,176.00000
16.09151330,51.57913400,177.00000
16.09110740,51.57889800,178.00000
16.09022830,51.57841900,182.00000
